Exercici,Ingrés / Despesa,Servei / entitat,Nom servei / entitat,Subsector,Agrupació,"Agrupació
SP",Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicació,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Partida,Import sense consolidar
2010,D,PR03,Secretaria General Adjunta,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR03,Secretaria General Adjunta,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"238.158,56"
2010,D,BE01,Gabinet i SG d'Acció Social i Ciutadania,Generalitat,BE,BE,BE,X,X,1000,Generalitat,BE01,Gabinet i SG d'Acció Social i Ciutadania,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"543.288,00"
2010,D,PO01,Gabinet i SG de Política Territorial i Obres Públiques,Generalitat,PO,PO,PO,X,X,1000,Generalitat,PO01,Gabinet i SG de Política Territorial i Obres Públiques,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"555.460,27"
2010,D,AG01,"Gabinet i SG d'Agricultura, Alimentació i Acció Rural",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Agricultura, Alimentació i Acció Rural",2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"405.000,00"
2010,D,EC03,"Secretaria de Política Financera, Competència i Consum",Generalitat,EC,EC,EC,X,X,1000,Generalitat,EC03,"Secretaria de Política Financera, Competència i Consum",2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"68.943,53"
2010,D,MA07,Secretaria d’Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA07,Secretaria d’Habitatge,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"160.000,00"
2010,D,VP01,Gabinet i SG de la Vicepresidència,Generalitat,VP,VP,VP,X,X,1000,Generalitat,VP01,Gabinet i SG de la Vicepresidència,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"147.878,90"
2010,D,PR01,Gabinet i SG de la Presidència,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR01,Gabinet i SG de la Presidència,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"4.000,00"
2010,D,TI01,Gabinet i SG de Treball,Generalitat,TI,TI,TI,X,X,1000,Generalitat,TI01,Gabinet i SG de Treball,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"200.000,00"
2010,D,JU01,Gabinet i SG de Justícia,Generalitat,JU,JU,JU,X,X,1000,Generalitat,JU01,Gabinet i SG de Justícia,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"402.127,48"
2010,D,SA01,Gabinet i SG de Salut,Generalitat,SA,SA,SA,X,X,1000,Generalitat,SA01,Gabinet i SG de Salut,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"340.715,57"
2010,D,MA01,Gabinet i SG de Medi Ambient i Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA01,Gabinet i SG de Medi Ambient i Habitatge,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"458.325,00"
2010,D,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",Generalitat,IU,IU,IU,X,X,1000,Generalitat,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"575.000,00"
2010,D,EC02,Secretaria d'Economia,Generalitat,EC,EC,EC,X,X,1000,Generalitat,EC02,Secretaria d'Economia,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"66.544,67"
2010,D,GO01,Gabinet i SG de Governació i Administracions Públiques,Generalitat,GO,GO,GO,X,X,1000,Generalitat,GO01,Gabinet i SG de Governació i Administracions Públiques,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"333.125,00"
2010,D,BE01,Gabinet i SG d'Acció Social i Ciutadania,Generalitat,BE,BE,BE,X,X,1000,Generalitat,BE01,Gabinet i SG d'Acció Social i Ciutadania,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"443.393,84"
2010,D,DD03,Despeses diversos departaments. Gestió Patrimonial. DG del Patrimoni,Generalitat,FN,FN,DD,X,X,1000,Generalitat,DD03,Despeses diversos departaments. Gestió Patrimonial. DG del Patrimoni,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"6.000,00"
2010,D,VP01,Gabinet i SG de la Vicepresidència,Generalitat,VP,VP,VP,X,X,1000,Generalitat,VP01,Gabinet i SG de la Vicepresidència,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"84.868,72"
2010,D,SA01,Gabinet i SG de Salut,Generalitat,SA,SA,SA,X,X,1000,Generalitat,SA01,Gabinet i SG de Salut,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"41.753,19"
2010,D,PR03,Secretaria General Adjunta,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR03,Secretaria General Adjunta,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"61.900,00"
2010,D,JU01,Gabinet i SG de Justícia,Generalitat,JU,JU,JU,X,X,1000,Generalitat,JU01,Gabinet i SG de Justícia,2,22,220,2200002,"Premsa, revistes, llibres i altres publicacions",1,12,121,Direcció i administració generals,D/220000200/1210/0000,"32.098,12"
