Exercici,Ingrés / Despesa,Servei / Entitat,Nom Servei / Entitat,Subsector,Agrupació,Agrupació SP,Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicacio,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Pos.pressupostària,Import sense consolidar,Identificador
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,221,2210089,Altres subministraments,4,44,443,Patrimoni cultural,D/221008900/4430/0000,2000,8383
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,222,2220001,"Despeses postals, missatgeria i altres similars",4,44,443,Patrimoni cultural,D/222000100/4430/0000,"499,82",8384
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,222,2220003,Comunicacions mitjançant serveis de veu i dades ad quirits a altres entitats,4,44,443,Patrimoni cultural,D/222000300/4430/0000,7000,8385
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,224,2240001,Despeses d'assegurances,4,44,443,Patrimoni cultural,D/224000100/4430/0000,11000,8386
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,225,2250001,Tributs,4,44,443,Patrimoni cultural,D/225000100/4430/0000,43000,8387
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,226,2260002,Atencions protocol·làries i representatives,4,44,443,Patrimoni cultural,D/226000200/4430/0000,500,8388
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,226,2260003,"Publicitat, difusió i campanyes institucionals",4,44,443,Patrimoni cultural,D/226000300/4430/0000,1500,8389
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,226,2260007,Publicacions i edictes als diaris oficials,4,44,443,Patrimoni cultural,D/226000700/4430/0000,500,8390
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,226,2260011,Formació del personal propi,4,44,443,Patrimoni cultural,D/226001100/4430/0000,500,8391
2014,D,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",consorcis,CU,,,,X,7625,"Consorci del Museu de Lleida, Diocesà i Comarcal",7625,"C.Museu Lleida, Diocesà i Comarcal",2,22,226,2260089,Altres despeses diverses,4,44,443,Patrimoni cultural,D/226008900/4430/0000,8200,8392
